"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","g"
"251",94.5,84,95,95,100,98,86,100,0,100,8,13,16,14,40.8,58.95,51,65.5,94.0625,14.3333333333333,66.94375,"C-"
"252",72.5,77.5,0,75,85,0,0,0,65,80,0,5,7,7,19.2,18.45,24,20.5,75,6.33333333333333,41.375,"F"
"253",100,79,85,95,85,91,79,75,92,100,11,8,18,18,64,63.9,80,71,88.25,15.6666666666667,72.575,"C"
"254",92.5,100,100,90,98,99,97,100,95,100,8,12,11,15,25.6,54.9,32,61,97.6875,12.6666666666667,62.85625,"C-"
"255",100,100,90,100,100,94,100,100,0,100,12,14,15,0,72,72.9,90,81,98,13.6666666666667,79.7,"B-"
"256",93,73,100,88,100,96,80,95,95,80,12,9,13,12,76,65.25,95,72.5,93.375,12.3333333333333,74.9875,"C"
"257",100,85,97.5,100,95,0,89,90,90,100,9.5,17,10,17,49.6,66.6,62,74,93.3125,14.6666666666667,71.09375,"C"
"258",92.5,100,100,70,100,100,100,100,85,100,9,16,19,0,67.2,72.45,84,80.5,97.1875,14.6666666666667,78.28125,"C+"
"259",92.5,92.5,90,90,100,90,100,90,85,100,10,13,17,20,63.2,86.4,79,96,93.125,16.6666666666667,80.2375,"B-"
"260",68,55.5,85,0,65,50,52,0,20,80,6,9,6,7,43.2,28.8,54,32,56.5,8,44.95,"F"
"261",92.5,92.5,100,90,100,100,100,0,80,100,11.5,18,0,20,70.4,78.3,88,87,94.375,16.5,80.1375,"B-"
"262",57.5,100,100,0,80,93,76,75,95,100,9,13,14,18,79.2,66.6,99,74,84.5625,15,75.91875,"C"
"263",89.5,57,95,90,0,98,0,75,100,60,9,14,9,11,37.6,71.1,47,79,86.3571428571429,12.5,62.9321428571428,"C-"
"264",89.5,79,97.5,100,90,99,100,100,99,100,12,16,15,18,68.8,85.95,86,95.5,96.875,16.3333333333333,82.5875,"B"
"265",75,100,92.5,100,100,99,100,90,100,100,10,16,19,20,77.6,77.4,97,86,97.6875,18.3333333333333,82.95625,"B"
"266",87.5,92.5,90,80,90,80,89,90,55,100,9,14,16,20,52,71.1,65,79,87.375,16.6666666666667,71.4625,"C"
"267",57.5,70,82.5,0,55,0,51,45,0,100,10,7,11.5,0,40,55.8,50,62,60.1666666666667,9.5,54.975,"D"
"268",52.5,77.5,97.5,50,95,80,79,90,50,100,8,7,13,18,46.4,52.65,58,58.5,81.6428571428571,13,62.6678571428571,"C-"
"269",82.5,0,92.5,80,93,98,85,100,85,100,10,14,11,18,68.8,75.15,86,83.5,89.5,14.3333333333333,77.075,"C"
"270",62.5,70,87.5,60,100,80,84,95,80,100,5,16,13,15,42.4,63.9,53,71,82.375,14.6666666666667,65.2625,"C-"
"271",65,55,87.5,90,90,72,77,0,80,100,10,13,11.5,16,68,75.6,85,84,77.0625,13.5,73.14375,"C"
"272",85,90,90,20,95,85,97,75,80,100,7,5,10,6,59.52,57.6,74.4,64,87.125,7.66666666666667,68.1675,"C-"
"273",100,100,100,100,100,75,100,95,65,100,11.5,13,9,17,50.4,68.4,63,76,96.25,13.8333333333333,72.55,"C"
"274",87.5,100,92.5,100,100,100,90,100,100,100,10,16,15,17,69.6,81,87,90,97.8125,16,81.64375,"B-"
"275",92.5,70,85,80,100,97,79,100,85,100,10,18,19,20,76.8,68.4,96,76,89.8125,19,77.99375,"C+"
"276",62.5,80,75,100,95,95,100,85,100,100,9,18,16,15,56.8,53.55,71,59.5,91.25,16.3333333333333,68.9,"C-"
"277",87,100,100,100,99,99,100,100,96,100,6,12,14,18,64,78.75,80,87.5,99.25,14.6666666666667,79.85,"B-"
"278",60,75,100,0,100,94,100,90,100,80,6,6,5,8,69.6,44.55,87,49.5,89.875,6.66666666666667,65.7375,"C-"
"279",79,96.5,92.5,100,100,98,87,100,82,100,12,14,15,20,66.4,70.65,83,78.5,94.5,16.3333333333333,77.025,"C"
"280",87.5,97.5,95,90,90,88,100,60,100,100,8,15,13.5,0,68.8,70.2,86,78,93.5,12.1666666666667,76.575,"C"
"281",60,82.5,92.5,80,0,73,85.5,100,85,100,9,9,11.5,13,76.8,74.7,96,83,82.3125,12.25,76.48125,"C"
"282",90,100,100,100,95,99,100,95,100,100,12,18,16,18,64.8,72.9,81,81,98.625,17.3333333333333,78.6375,"C+"
"283",92.5,100,100,100,100,99,100,100,95,100,10,12,14,19,71.2,76.5,89,85,99.25,15,81.075,"B-"
"284",87.5,100,65,70,0,76,80,100,98,60,6,6,11,19,53.6,70.2,67,78,84.5625,15,66.51875,"C-"
"285",0,85,100,100,100,99,100,97.5,100,100,8,14,14,15,60,81,75,90,97.6875,14.3333333333333,78.95625,"C+"
"286",70,70,55,65,72.5,58,47,60,80,100,11,10,15,20,65.6,58.05,82,64.5,66.3125,15.3333333333333,64.71875,"C-"
"287",82.5,77.5,100,90,95,93,84,100,85,100,12,14,17,9,59.2,70.2,74,78,91.1875,14.3333333333333,73.80625,"C"
"288",100,85,100,100,100,87,97,90,100,100,8,18,17,18,64,66.15,80,73.5,96.75,17.6666666666667,76.05,"C"
"289",82.5,100,92.5,80,100,99,100,80,100,100,12,18,18,20,71.2,89.1,89,99,96.2857142857143,18.6666666666667,84.2357142857143,"B"
"290",0,80,100,95,78,90,77,75,97,100,10,12,11,17,58.4,59.85,73,66.5,86.5,13.3333333333333,69.175,"C-"
"291",77.5,0,92.5,90,85,66,48,70,85,100,6,9,5,6,28,40.05,35,44.5,76.75,7,52.2,"D"
"292",92.5,72.5,72.5,30,0,83,100,0,85,100,7,8,7,3,20.8,18.45,26,20.5,76.5,7.33333333333333,44.375,"F"
"293",92.5,100,100,100,100,99,97,100,85,100,11,18,19,20,71.2,79.65,89,88.5,98.5625,19,82.34375,"B"
"294",73.5,85,95,90,99,88,97,90,100,100,6,14,9,14,75.2,64.8,94,72,93,12.3333333333333,76.55,"C"
"295",92.5,100,100,100,100,100,92,0,95,100,11,17,15,20,78.4,80.1,98,89,97.4375,17.3333333333333,83.68125,"B"
"296",92.5,92.5,97.5,80,97,100,89,90,60,100,10.5,12,6,14,51.2,44.1,64,49,92.3125,12.1666666666667,64.56875,"C-"
"297",52.5,47.5,97.5,75,65,81,79,90,65,80,9,8,8,15,39.2,60.3,49,67,75.625,12,59.0375,"D"
"298",77.5,92.5,77.5,90,93,90,90,55,65,100,8,8,6,10,64,49.05,80,54.5,84.4375,8.66666666666667,66.25625,"C-"
"299",72.5,65,90,70,75,84,65,80,85,100,10,11,16,19,64,71.1,80,79,79.5,15.3333333333333,71.9,"C"
"300",78.5,0,72.5,90,95,87,97,100,100,100,6,14,17,13,56,60.75,70,67.5,90,14.6666666666667,70.075,"C"
"301",80,100,95,70,87.5,90,96,100,85,100,11,11,11,19,61.6,80.55,77,89.5,91.6875,19,78.13125,"C+"
"302",62.5,0,77.5,90,100,98,100,90,100,100,12,17,7,18,76,74.25,95,82.5,89.75,15.6666666666667,78.9,"C+"
"303",94,100,100,90,100,99,100,95,95,100,11,14,16,18,56.8,65.25,71,72.5,97.875,16,74.0875,"C"
"304",66,85,90,90,100,0,65,95,100,100,10,4,15,13,42.4,36.9,53,41,86.375,12.6666666666667,58.6625,"D"
"305",77.5,85,85,60,100,100,86,100,80,100,9,15,15,13,44,60.3,55,67,89.1875,14.3333333333333,66.65625,"C-"
"306",87.5,77.5,100,95,95,100,0,75,75,100,11.5,16,15,20,67.2,72.9,84,81,88.125,17,76.0375,"C"
"307",99.5,100,100,90,72.5,100,97,100,98,100,11,18,15,18,56,70.2,70,78,98.0625,17,75.46875,"C"
"308",82.5,100,95,80,95,96,100,80,85,100,12,14,17,18,72,76.5,90,85,93.3571428571429,16.3333333333333,79.7071428571429,"B-"
"309",85,95,85,100,100,98,88,90,85,100,12,9,13,19,64.8,67.5,81,75,95.1666666666667,14.6666666666667,75.7,"C"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,80,7,0,0,0,43.2,20.7,54,23,83.4375,7,50.63125,"D"
"311",87.5,77.5,100,60,100,89,83,80,80,100,10,14,13,16,59.2,71.55,74,79.5,87.125,14.3333333333333,72.9625,"C"
"312",92.5,100,95,100,100,99,100,85,98,100,12,16,15,19,80,84.15,100,93.5,98.0625,16.6666666666667,85.29375,"B"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,100,9,11,9,20,47.2,62.1,59,69,88.875,15.5,68.0375,"C-"
"314",98,94,77.5,90,95,97,100,90,99,100,11,13,11,15,60.8,48.6,76,54,95.375,14,69.4125,"C-"
"315",80.5,85,100,90,95,96,86,60,100,100,8,14,15,19,76.8,66.15,96,73.5,91.5625,16,77.44375,"C"
"316",60,0,90,0,0,91,0,47.5,66,100,9,13,6,20,62.4,53.55,78,59.5,70.9,14,63.845,"C-"
"317",0,50,42.5,80,100,83,71,75,50,100,8,11,11,7,14.4,39.6,18,44,68.9375,10,46.78125,"F"
"318",92.5,85,100,70,90,96,100,100,100,100,9,12,9,19,67.2,64.8,84,72,95.4375,15.5,75.75625,"C"
"319",92.5,100,100,100,100,0,90,100,100,100,11,11,13,16,78.4,75.6,98,84,97.8125,14.5,82.11875,"B"
"320",87.5,100,97.5,100,90,80,100,80,94,100,9,13,12,15,54.4,53.1,68,59,95.5714285714286,13.3333333333333,69.0214285714286,"C-"
"321",65,100,90,90,100,99,86,72.5,75,100,12,16,16,19,71.2,72.9,89,81,89.0625,17,77.31875,"C"
"322",92.5,100,100,100,95,100,86,100,80,100,11.5,13,12,20,62.4,74.25,78,82.5,96.6875,15,77.48125,"C"
"323",82.5,100,95,100,0,100,92,100,100,100,7,18,13,16,68.8,63.9,86,71,96.1875,15.6666666666667,76.15625,"C"
"324",0,75,67.5,90,80,71,0,50,0,40,10,11,5,7,64,44.55,80,49.5,72.25,9.33333333333333,55.45,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,100,7,17,19,20,71.2,81,89,90,85.25,18.6666666666667,78.675,"C+"
"326",82.5,100,85,90,95,85,90,100,82.5,100,12,10,13,15,46.4,71.1,58,79,92.1428571428571,13.3333333333333,70.9928571428571,"C"
"327",72.5,100,100,100,100,80,76,85,98,100,11,13,14,20,74.4,80.1,93,89,92.375,15.6666666666667,80.9125,"B-"
"328",72.5,70,100,90,100,95,97,100,85,100,12,16,15,16,72,75.15,90,83.5,92.4375,15.6666666666667,78.95625,"C+"
"329",0,0,0,10,0,0,53.5,70,32,60,4,0,11,9,32.8,56.7,41,63,41.375,8,43.5625,"F"
"330",88.5,99,0,0,85,0,0,85,85,100,9,9,16,14,57.6,50.85,72,56.5,88.5,15,67.325,"C-"
"331",95,95,100,100,95,99,100,100,100,100,11,16,13,20,65.6,81,82,90,99.8333333333333,16.3333333333333,81.3,"B-"
"332",72.5,92.5,100,90,95,89,83,95,100,100,11,4,12,15,60.8,57.15,76,63.5,93.0625,12.6666666666667,70.89375,"C"
"333",100,85,100,100,100,99,97,85,95,100,12,18,20,20,80,89.1,100,99,98.7142857142857,19.3333333333333,87.2642857142857,"B+"
"334",92.5,75,100,100,96.25,96,100,90,100,100,9,16,14,18,61.6,74.7,77,83,96.84375,16,77.603125,"C+"
